goal	rule	score
p3(X1, X0)	p3(a39, a28)	1
p8(X4, X2)	p8(a92, a17)	1
p3(X0, X7)	p3(a41, a12)	1
p8(X5, X0)	p8(a0, a19)	1
p8(X0, X3)	p8(a16, a13)	1
p8(X8, X0)	p8(a16, a13)	1
p7(X9, a13)	p7(X9, X9) :- p0(X9)	1
p8(X5, X7)	p8(a9, a0)	1
p3(X8, X4)	p3(a12, a43)	1
p3(X0, X5)	p3(a70, a38)	1
p7(X5, X0)	p7(a29, a4)	1
p7(a38, X0)	p7(a38, a0)	1
p3(X4, a12)	p3(a41, a12)	1
p7(X4, a41)	p7(X6, X7) :- p9(X0, X6, X7)	1
p5(X6, a4)	p5(a92, a4)	1
p5(X1, X0)	p5(a2, a20)	1
p0(X2)	p0(a33)	1
p1(X5)	p1(a74)	1
p7(X2, X1)	p7(X9, X9) :- p0(X9)	1
p5(X8, a51)	p5(a0, a51)	1
p9(X0, X8, X2)	p9(a55, a20, a15)	1
p9(a76, X1, X3)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p7(X0, a49)	p7(X9, X9) :- p0(X9)	1
p3(a41, X0)	p3(a41, a12)	1
p8(X4, X2)	p8(a54, a28)	1
p1(a88)	p1(a88)	1
p3(X6, X0)	p3(a46, a11)	1
p1(X0)	p1(a2)	1
p7(a80, a80)	p7(X9, X9) :- p0(X9)	1
p6(X5)	p6(a22)	1
p7(X1, X0)	p7(a51, a13)	1
p9(X1, X0, a22)	p9(a1, a89, a22)	1
p7(X5, X0)	p7(a10, a9)	1
p0(a80)	p0(X5) :- p0(X5)	1
p7(X1, a1)	p7(a0, a1)	1
p8(a9, X0)	p8(a9, a0)	1
p7(a29, a10)	p7(X6, X7) :- p9(X0, X6, X7)	1
p7(X9, a1)	p7(a0, a1)	1
p1(X0)	p1(a13)	1
p3(X7, X0)	p3(a17, a42)	1
p7(X4, X0)	p7(a40, a72)	1
p5(X5, X0)	p5(a0, a3)	1
p5(X7, X0)	p5(a26, a25)	1
p0(a76)	p0(X2) :- p5(X2, X5), p0(X5)	1
p5(X9, X0)	p5(a64, a66)	1
p7(a56, X0)	p7(a56, a54)	1
p1(a12)	p1(X1) :- p0(X5), p7(X1, X5)	1
p7(X0, a80)	p7(X9, X9) :- p0(X9)	1
p7(X5, X0)	p7(X4, X4) :- p1(X4), p8(X9, X4)	1
p5(X0, a0)	p5(a1, a0)	1
p0(X8)	p0(a0)	1
p7(a21, a21)	p7(X9, X9) :- p0(X9)	1
p9(X0, X8, X1)	p9(a1, a89, a22)	1
p0(a0)	p0(X3) :- p6(X3)	1
p9(X0, X8, X2)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p6(X6)	p6(a24)	1
p6(X5)	p6(a23)	1
p3(X7, X0)	p3(a65, a13)	1
p7(a17, X0)	p7(X1, X1) :- p8(X1, X9)	1
p3(X6, a29)	p3(a16, a29)	1
p3(X9, X0)	p3(a99, a46)	1
p7(X4, a0)	p7(X6, X7) :- p9(X0, X6, X7)	1
p5(X0, X1)	p5(a23, a20)	1
p3(X0, X4)	p3(a17, a42)	1
p7(X0, a12)	p7(X6, X7) :- p9(X0, X6, X7)	1
p9(X0, X4, a0)	p9(a50, a13, a0)	1
p7(X0, X1)	p7(X1, X1) :- p8(X1, X9)	1
p7(X5, X5)	p7(X1, X1) :- p8(X1, X9)	1
p3(X3, X0)	p3(a71, a1) :- p0(X0)	1
p7(X9, X9)	p7(X4, X4) :- p1(X4), p8(X9, X4)	1
p3(X8, X4)	p3(a6, a0)	1
p8(X0, X7)	p8(a27, a43)	1
p7(X0, a89)	p7(X9, X9) :- p0(X9)	1
p8(X0, X6)	p8(a25, a94)	1
p3(X7, X0)	p3(a92, a46)	1
p7(X0, a13)	p7(a51, a13)	1
p0(X0)	p0(a49)	1
p7(X0, X1)	p7(a29, a4)	1
p9(X0, a38, X1)	p9(a14, a38, a85)	1
p3(X7, X0)	p3(a89, a77)	1
p3(X1, X0)	p3(a44, a14)	1
p8(X4, X2)	p8(a70, a52)	1
p7(X7, a54)	p7(X9, X9) :- p0(X9)	1
p6(X8)	p6(a22)	1
p3(X0, X2)	p3(a44, a14)	1
p8(X0, X6)	p8(a0, a19)	1
p5(X0, X1)	p5(a64, a0)	1
p3(X1, a29)	p3(a16, a29)	1
p9(X1, X0, a22)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p3(X0, X3)	p3(a16, a29)	1
p7(X7, a4)	p7(X1, X1) :- p8(X1, X9)	1
p9(X0, a12, X1)	p9(a64, a12, a16)	1
p6(X4)	p6(a12)	1
p6(X5)	p6(a76)	1
p7(a76, X0)	p7(X6, X7) :- p9(X0, X6, X7)	1
p6(X6)	p6(a11)	1
p3(a19, X0)	p3(a19, a90)	1
p3(X8, X4)	p3(a44, a14)	1
p8(X0, X7)	p8(a64, a59)	1
p1(X1)	p1(a15)	1
p3(X0, X8)	p3(a46, a11)	1
p0(a12)	p0(X5) :- p0(X5)	1
p1(X1)	p1(a24)	1
p9(X0, a75, a71)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p7(X0, a64)	p7(X1, X1) :- p8(X1, X9)	1
p7(X0, X8)	p7(a0, a88)	1
p7(X5, X0)	p7(X9, X9) :- p0(X9)	1
p3(X3, X0)	p3(a19, a90)	1
p5(X0, a0)	p5(a64, a0)	1
p1(X1)	p1(a65)	1
p7(X5, X0)	p7(a0, a96)	1
p3(X2, a72)	p3(a53, a72)	1
p3(X0, X1)	p3(a70, a38)	1
p3(X4, X0)	p3(a17, a42)	1
p6(X2)	p6(a21)	1
p8(X8, X0)	p8(a25, a94)	1
p7(X0, X1)	p7(a10, a9)	1
p3(X8, X0)	p3(a41, a12)	1
p8(X5, X0)	p8(a16, a13)	1
p7(X7, a4)	p7(a29, a4)	1
p6(X8)	p6(a23)	1
p7(a9, a9)	p7(X1, X1) :- p8(X1, X9)	1
p3(X7, X0)	p3(a12, a43)	1
p8(X4, X8)	p8(a16, a10)	1
p1(X7)	p1(a15)	1
p7(X0, X1)	p7(a37, a96)	1
p7(X7, a34)	p7(X9, X9) :- p0(X9)	1
p0(X7)	p0(a51)	1
p3(X0, X3)	p3(a41, a12)	1
p3(X0, X1)	p3(a99, a46)	1
p0(X4)	p0(a10)	1
p3(a65, a13)	p3(a65, a13)	1
p9(X1, X0, X2)	p9(a20, a97, a41)	1
p8(X7, X0)	p8(a64, a59)	1
p0(a1)	p0(X2) :- p5(X2, X5), p0(X5)	1
p3(X0, X4)	p3(a12, a43)	1
p3(X1, X0)	p3(a41, a12)	1
p7(X4, a1)	p7(a0, a1)	1
p5(X0, X1)	p5(a99, a66)	1
p3(X7, X5)	p3(a53, a72)	1
p7(X0, a0)	p7(X6, X7) :- p9(X0, X6, X7)	1
p9(X0, X8, X1)	p9(a44, a60, a28)	1
p0(a36)	p0(X5) :- p0(X5)	1
p0(X3)	p0(a10)	1
p7(a89, X0)	p7(X6, X7) :- p9(X0, X6, X7)	1
p0(X4)	p0(a89)	1
p7(X7, a10)	p7(X6, X7) :- p9(X0, X6, X7)	1
p8(a70, X0)	p8(a70, a52)	1
p8(X0, X9)	p8(a16, a13)	1
p9(X2, X1, X0)	p9(a43, a76, a16)	1
p3(X0, X4)	p3(a39, a28)	1
p3(X0, X4)	p3(a64, a11)	1
p7(X6, X0)	p7(a29, a4)	1
p8(X7, X0)	p8(a25, a94)	1
p8(X1, X0)	p8(a0, a19)	1
p7(X0, X1)	p7(a48, a0)	1
p8(X0, X1)	p8(a92, a17)	1
p7(X5, X0)	p7(a23, a35)	1
p1(X9)	p1(a28)	1
p6(X7)	p6(a0)	1
p7(X7, a12)	p7(X9, X9) :- p0(X9)	1
p5(X0, X1)	p5(a2, a20)	1
p1(X5)	p1(a15)	1
p8(X2, X0)	p8(a64, a59)	1
p1(X5)	p1(a24)	1
p7(X9, a0)	p7(a38, a0)	1
p8(X4, X2)	p8(a9, a0)	1
