query,std reasoner,std nodes explored,std min depth,success,time
1,std,1000000,0,False,103.258242825
2,std,3,2,True,0.001151180000007912
3,std,1000000,0,False,145.03528826800004
4,std,3,2,True,0.0004252090000136377
5,std,2,1,True,0.0003111490000264894
6,std,3,2,True,0.0010679470000241054
7,std,9,4,True,0.002629055999989305
8,std,5,3,True,0.0013977629999999408
9,std,1000000,0,False,93.66993271199999
10,std,1000000,0,False,155.64715362200002
11,std,1000000,0,False,92.66778142100003
12,std,2,1,True,0.00043457200001739693
13,std,1000000,0,False,92.95383796399994
14,std,1000000,0,False,145.54616686100007
15,std,1000000,0,False,92.6338773519999
16,std,1000000,0,False,93.9526997129999
17,std,717612,6,True,109.56802086900007
18,std,1000000,0,False,141.46955924500003
19,std,2,1,True,0.00037905199997112504
20,std,2753,15,True,0.6923871770000005
21,std,4,3,True,0.0011021759999039205
22,std,1000000,0,False,147.12950137300004
23,std,17,3,True,0.005488200999934634
24,std,4,2,True,0.0010565459999725135
25,std,5,4,True,0.001407931999892753
26,std,2,1,True,0.000342882000040845
27,std,1000000,0,False,157.111545685
28,std,5,4,True,0.0015261040000495996
29,std,84,2,True,0.0032553149999330344
30,std,2,1,True,0.0003284399999756715
31,std,27,4,True,0.006122566000158258
32,std,1000000,0,False,128.0089963380001
33,std,2,1,True,0.0003704860000652843
34,std,5,4,True,0.0015006409998932213
35,std,2,1,True,0.0004148069999700965
36,std,1000000,0,False,115.08955833300001
37,std,2,1,True,0.00040970399982143135
38,std,2,1,True,0.00032371599991165567
39,std,1000000,0,False,145.69221997499994
40,std,1000000,0,False,113.93549805099997
41,std,1000000,0,False,126.15594994599996
42,std,12,6,True,0.0027854919999299455
43,std,1000000,0,False,157.37869252099972
44,std,73,7,True,0.005352441000013641
45,std,4,2,True,0.001016206000258535
46,std,1000000,0,False,163.18612939700006
47,std,2,1,True,0.00034623500005181995
48,std,5,4,True,0.001507130999925721
49,std,1000000,0,False,148.16214057700017
50,std,2,1,True,0.0004898890001641121
51,std,2,1,True,0.0003537969996614265
52,std,2,1,True,0.0003490999997666222
53,std,2,1,True,0.0003335530000185827
54,std,1000000,0,False,154.2522984719999
55,std,2,1,True,0.0003751989997908822
56,std,2,1,True,0.0003107900001850794
57,std,2,1,True,0.00029822199985574116
58,std,2,1,True,0.00041828599978543934
59,std,1000000,0,False,142.16887970499965
60,std,1000000,0,False,137.09694417899982
61,std,1000000,0,False,96.23437822400001
62,std,1000000,0,False,98.05077949800034
63,std,2,1,True,0.00042152900005021365
64,std,5,4,True,0.00184541899989199
65,std,2,1,True,0.0005351400000108697
66,std,4,3,True,0.0008508989999427286
67,std,1000000,0,False,160.59278486500034
68,std,6,4,True,0.0019366050000826363
69,std,2,1,True,0.00037610400022458634
70,std,6,5,True,0.001364780999665527
71,std,1000000,0,False,168.43277645099988
72,std,2,1,True,0.0004870320003647066
73,std,2,1,True,0.00041953000027206144
74,std,2,1,True,0.0004702569999608386
75,std,6,5,True,0.0019448650000413181
76,std,4,2,True,0.0012397949999467528
77,std,1000000,0,False,145.2770715319998
78,std,2,1,True,0.00037467099991772557
79,std,1000000,0,False,169.85285116600016
80,std,4,2,True,0.0006845679999969434
81,std,2,1,True,0.00034350100031588227
82,std,1000000,0,False,99.12063231399998
83,std,2,1,True,0.00038679299996147165
84,std,1000000,0,False,153.82946119399958
85,std,1000000,0,False,97.56944524800019
86,std,2,1,True,0.0005548180006371695
87,std,2,1,True,0.00036044500029674964
88,std,4,2,True,0.0011307609993309597
89,std,2,1,True,0.00034264399982930627
90,std,1000000,0,False,100.0984748790006
91,std,3,2,True,0.0009646520002206671
92,std,2,1,True,0.00048208800035354216
93,std,2,1,True,0.0003487959993435652
94,std,1000000,0,False,98.94081098100014
95,std,1000000,0,False,171.34977728299964
96,std,5,3,True,0.0015759479992993874
97,std,2,1,True,0.0004176049997113296
98,std,1000000,0,False,164.38263143099994
99,std,2,1,True,0.000366551000297477
100,std,3,2,True,0.0009912460000123247
