query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,235,4,True,4.777145246
2,ming,3,2,True,0.035885076999999654
3,ming,3,2,True,0.005967354000000924
4,ming,128,6,True,1.3929632410000004
5,ming,3,2,True,0.003261538999998592
6,ming,3,2,True,0.011575369999999197
7,ming,2,1,True,0.00565855099999979
8,ming,2,1,True,0.004083488000000912
9,ming,3,2,True,0.036124792999999045
10,ming,3,2,True,0.036028013000001025
11,ming,3,2,True,0.003313019000000139
12,ming,313,6,True,2.7491043059999996
13,ming,3,2,True,0.03700269599999828
14,ming,3,2,True,0.0062300270000008595
15,ming,120,3,True,0.7092207570000006
16,ming,3,2,True,0.035669577000000174
17,ming,4,3,True,0.05331345200000115
18,ming,4,3,True,0.013874497000003316
19,ming,205,4,True,0.5846953910000003
20,ming,2,1,True,0.03618790800000227
21,ming,3,2,True,0.004817389999999477
22,ming,2,1,True,0.0038153019999995763
23,ming,2,1,True,0.0036920920000014235
24,ming,6,5,True,0.09072904199999954
25,ming,2,1,True,0.002144047000001592
26,ming,5,4,True,0.05358349200000134
27,ming,4,3,True,0.013976701000000702
28,ming,3,2,True,0.004833695000002081
29,ming,3,2,True,0.020195170000000928
30,ming,5,4,True,0.019107334000000975
31,ming,3,2,True,0.004690499999998821
32,ming,6,5,True,0.02055396399999765
33,ming,3,2,True,0.006058843000001701
34,ming,2,1,True,0.0021446359999970355
35,ming,3,2,True,0.004076833999999252
36,ming,3,2,True,0.006402917999999147
37,ming,3,2,True,0.03639648999999778
38,ming,3,2,True,0.07030072999999959
39,ming,2,1,True,8.342499999969277e-05
40,ming,3,2,True,0.03767050499999769
41,ming,5,4,True,0.013270539000000525
42,ming,502,4,True,0.7635286420000007
43,ming,5217,4,True,11.895225200000002
44,ming,4,3,True,0.004658003000002964
45,ming,3,2,True,0.07051393599999756
46,ming,5,4,True,0.024301658999995368
47,ming,3,2,True,0.01988304700000043
48,ming,2,1,True,0.003746280999997964
49,ming,3,2,True,0.007732832999998607
50,ming,3,2,True,0.00596710700000358
51,ming,3,2,True,0.02128434299999782
52,ming,7,6,True,0.03209736400000196
53,ming,3,2,True,0.004304623999999535
54,ming,2,1,True,0.03531332200000037
55,ming,6,5,True,0.038191709000003016
56,ming,3,2,True,0.008190326000004688
57,ming,3,2,True,0.004984159999999349
58,ming,2,1,True,0.002163903000003131
59,ming,3,2,True,0.0014797910000012848
60,ming,7395,4,True,9.736776361000004
61,ming,2,1,True,0.00010182500000155414
62,ming,3,2,True,0.006404455000001974
63,ming,3,2,True,0.0014504520000002685
64,ming,40431,6,True,16.057735032000004
65,ming,871,4,True,2.391629109
66,ming,3,2,True,0.020223016000002758
67,ming,2,1,True,0.0022636910000031207
68,ming,5,4,True,0.015004791999999156
69,ming,5217,4,True,9.908358776999997
70,ming,3,2,True,0.020128406000011978
71,ming,222,4,True,0.26745909500000664
72,ming,3,2,True,0.005861596000002578
73,ming,5,4,True,0.10056164899999942
74,ming,2,1,True,0.0022913059999893903
75,ming,6,5,True,0.0737963970000095
76,ming,8,7,True,0.2767119459999918
77,ming,3,2,True,0.0038120090000006712
78,ming,2,1,True,0.002275972000006732
79,ming,2,1,True,0.03515207000000942
80,ming,3,2,True,0.03668499399999803
81,ming,173,5,True,1.3458246240000022
82,ming,5,4,True,0.013944387999998753
83,ming,488,5,True,1.0713049689999963
84,ming,19,3,True,0.03250042700000222
85,ming,12953,10,True,7.627363938000002
86,ming,2,1,True,0.002243543000005843
87,ming,3,2,True,0.0359391789999961
88,ming,5,4,True,0.020932905999998752
89,ming,3,2,True,0.0058807799999982535
90,ming,2,1,True,0.035030329000008464
91,ming,5,4,True,0.07389794399999516
92,ming,3,2,True,0.007719156999996812
93,ming,49,5,True,0.14884072200000276
94,ming,3,2,True,0.03754450499999962
95,ming,3,2,True,0.006570281000009004
96,ming,2,1,True,6.202199999449931e-05
97,ming,2,1,True,0.0021817720000001373
98,ming,2,1,True,0.0021835639999920886
99,ming,3,2,True,0.021032326000010926
100,ming,7,4,True,0.019511462000011193
