query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,4,3,True,0.18988686699999935
2,ming,4,3,True,0.26940185199999966
3,ming,8,7,True,0.33363928200000004
4,ming,612,0,False,8.681280444
5,ming,5,4,True,0.2058537660000006
6,ming,4,3,True,0.05339731300000139
7,ming,15,14,True,0.8901303180000006
8,ming,8,7,True,0.14180567900000085
9,ming,11,7,True,0.35226056800000194
10,ming,3,2,True,0.1601711399999992
11,ming,36179,0,False,13.46455979
12,ming,4,3,True,0.041443652000005216
13,ming,8,7,True,0.28460090999999466
14,ming,4,3,True,0.01687573000000242
15,ming,8,7,True,0.16308315500000248
16,ming,11,7,True,0.043026312999998595
17,ming,3,2,True,0.027202487000003828
18,ming,149424,15,True,25.929505392000003
19,ming,437,15,True,2.482033928
20,ming,4,3,True,0.1218310599999981
21,ming,5,4,True,0.0035128740000018865
22,ming,5,4,True,0.01655736499999705
23,ming,53292,9,True,11.277337009000007
24,ming,4,3,True,0.33464330799999686
25,ming,3,2,True,0.041175570000007156
26,ming,8,7,True,0.05383159900000578
27,ming,31,12,True,0.21677658999999494
28,ming,28,15,True,0.9963211390000026
29,ming,3,2,True,0.06272710799999004
30,ming,7,6,True,0.03185047800000973
31,ming,4,3,True,0.04269274199999984
32,ming,4,3,True,0.15313017300000809
33,ming,8,7,True,0.5506080100000048
34,ming,3,2,True,0.003941662000002566
35,ming,46,6,True,0.2622980419999976
36,ming,3,2,True,0.007499663000004375
37,ming,3,2,True,0.20902591300000495
38,ming,9,8,True,0.7589176000000037
39,ming,6,5,True,0.4208168360000002
40,ming,6,5,True,0.011047297000004619
41,ming,8,5,True,0.12165815699999882
42,ming,91430,14,True,29.386718773
43,ming,8,7,True,0.3005920629999963
44,ming,22832,0,False,11.344108347999992
45,ming,4,3,True,0.0361577900000043
46,ming,8844,14,True,3.722590562999997
47,ming,31,14,True,0.5810077200000023
48,ming,26471,0,False,23.67724969599999
49,ming,1856,0,False,0.9653212260000146
50,ming,4,3,True,0.07259519199999431
51,ming,14,13,True,0.9713529649999941
52,ming,8,7,True,0.09497200999999222
53,ming,128085,0,False,66.002673993
54,ming,3,2,True,0.06767001800000116
55,ming,5,4,True,0.0757947950000073
56,ming,18,8,True,1.1251571899999817
57,ming,203,12,True,0.7368288309999969
58,ming,295636,9,True,41.54518513099998
59,ming,4,3,True,0.05000874099999919
60,ming,992,0,False,3.8612337239999874
61,ming,365533,4,True,43.05446311400004
62,ming,39,3,True,0.19936493500000552
63,ming,8,7,True,1.0220370509999839
64,ming,1000000,0,False,67.63249924500002
65,ming,1000000,0,False,317.571585234
66,ming,5,4,True,0.048598427999991145
67,ming,3,2,True,0.06380668099996001
68,ming,31,7,True,0.4774466380000604
69,ming,4,3,True,0.14786209600003986
70,ming,64,6,True,0.25297852799997145
71,ming,4,3,True,0.07338743100001466
72,ming,328787,13,True,32.09486818999994
73,ming,8,7,True,0.31570981100003337
74,ming,46,11,True,0.5670904729998938
75,ming,1856,0,False,1.244189131999974
76,ming,31,7,True,0.04358455799990679
77,ming,17,11,True,0.11655657899996186
78,ming,25513,0,False,42.437802745
79,ming,1728,0,False,50.16006427499997
80,ming,77,14,True,0.6539830149999943
81,ming,8,7,True,0.8731575130000238
82,ming,4,3,True,0.034419339999999465
83,ming,39258,0,False,83.52363287500009
84,ming,5,4,True,0.016147778999993534
85,ming,4,3,True,0.12810201399997823
86,ming,9,8,True,0.033426707999979044
87,ming,4,3,True,0.05623722600000747
88,ming,1082,0,False,0.90271460200006
89,ming,3,2,True,0.003796778000037193
90,ming,3,2,True,0.011155326999983117
91,ming,4,3,True,0.23353214600001593
92,ming,20,13,True,0.758351083999969
93,ming,304,9,True,1.0619331999999986
94,ming,4,3,True,0.18813288500007275
95,ming,361,11,True,0.7050230730000067
96,ming,4,3,True,0.13951019199998882
97,ming,4,3,True,0.1172797570000057
98,ming,3,2,True,0.019442077000007885
99,ming,5,3,True,0.26133015699997486
100,ming,330390,0,False,54.28872676799995
