query,std reasoner,std nodes explored,std min depth,success,time
1,std,4,3,True,0.0010476360000009066
2,std,4,3,True,0.0015551939999998154
3,std,8,7,True,0.001433352999999471
4,std,199,0,False,0.015081998999999513
5,std,5,4,True,0.0007550349999991823
6,std,4,3,True,0.0009375009999992301
7,std,111,14,True,0.015442679999999598
8,std,6,5,True,0.0008529970000008547
9,std,8,7,True,0.0007210249999989315
10,std,4,3,True,0.0009053120000004355
11,std,140609,0,False,2.0472796090000003
12,std,4,3,True,0.001004277999999914
13,std,8,7,True,0.0013018909999988892
14,std,4,3,True,0.00029502199999953405
15,std,6,5,True,0.0025258319999998946
16,std,8,7,True,0.0007345510000007494
17,std,3,2,True,0.00047704400000014857
18,std,44850,0,False,0.4184195390000003
19,std,18212,0,False,0.29798991300000033
20,std,4,3,True,0.0007442090000004953
21,std,8,7,True,0.0013062670000003607
22,std,5,4,True,0.0007890270000014965
23,std,30,9,True,0.003208666000000804
24,std,4,3,True,0.004912973999999792
25,std,4,3,True,0.0008407879999996482
26,std,6,5,True,0.0007737759999990601
27,std,23,12,True,0.0025772470000013925
28,std,79610,0,False,0.8358354660000007
29,std,3,2,True,0.0009315799999995988
30,std,7,6,True,0.0008726810000005969
31,std,4,3,True,0.0006298369999999665
32,std,4,3,True,0.0006094059999988133
33,std,8,7,True,0.0013082669999988639
34,std,3,2,True,0.00035670699999990063
35,std,295,0,False,0.01088211899999969
36,std,3,2,True,0.00041535299999928554
37,std,3,2,True,0.0008849360000002804
38,std,9,8,True,0.0025245209999997797
39,std,6,5,True,0.0006476259999992351
40,std,6,5,True,0.0008065950000002431
41,std,19,5,True,0.008277410999999901
42,std,38,12,True,0.21389494400000153
43,std,8,7,True,0.0007206659999994258
44,std,8818,0,False,0.10856054799999981
45,std,4,3,True,0.0005053090000011196
46,std,6127,0,False,0.0689507289999991
47,std,15,14,True,0.0005892190000000852
48,std,556,0,False,0.07853834999999876
49,std,8,7,True,0.0007427629999998686
50,std,5,3,True,0.0013266890000007692
51,std,20,13,True,0.0031934989999999885
52,std,11,10,True,0.0013028269999999509
53,std,78,0,False,0.009775662999999213
54,std,3,2,True,0.0005143709999995139
55,std,5,4,True,0.0002835940000007753
56,std,350,8,True,0.017309792000000712
57,std,394,12,True,0.023949538000000103
58,std,106,9,True,0.010978684999999544
59,std,4,3,True,0.0007697199999991966
60,std,16284,0,False,0.23201156400000045
61,std,191,4,True,0.027997070999999707
62,std,70,3,True,0.014979110999998824
63,std,8,7,True,0.00018878000000022155
64,std,13539,0,False,0.33585880699999926
65,std,18290,0,False,0.2858009610000014
66,std,5,4,True,0.0008399709999995508
67,std,3,2,True,0.001165064000000271
68,std,8,7,True,0.0007802179999991665
69,std,4,3,True,0.000999658999999653
70,std,223,6,True,0.010378347999999704
71,std,5,3,True,0.0008757060000004202
72,std,2493,13,True,0.2960470019999999
73,std,8,7,True,0.0008385119999996249
74,std,12,11,True,0.0015656520000000285
75,std,436,0,False,0.008616706999999835
76,std,8,7,True,0.001497178999999349
77,std,206,11,True,0.004036261999999624
78,std,2906,0,False,0.07256000599999979
79,std,739,0,False,0.020304612000000333
80,std,16,15,True,0.0014116199999989476
81,std,8,7,True,0.0006999329999999304
82,std,4,3,True,0.00029501999999936857
83,std,669,0,False,0.0365368859999986
84,std,5,4,True,0.00030600100000022223
85,std,4,3,True,0.0002964549999990851
86,std,9,8,True,0.0011190519999999538
87,std,4,3,True,0.0010103059999995168
88,std,8,7,True,0.00015201099999906376
89,std,7,5,True,0.00136599400000037
90,std,3,2,True,0.0002416630000006137
91,std,4,3,True,0.0007647959999985687
92,std,25,14,True,0.0026188070000010555
93,std,273,11,True,0.07305293800000001
94,std,4,3,True,0.00021417000000134578
95,std,8,7,True,0.0010708219999990831
96,std,4,3,True,0.0004581839999993065
97,std,5,3,True,0.0010557090000009595
98,std,3,2,True,0.00027782299999934423
99,std,4,3,True,0.001556588999999775
100,std,547,0,False,0.013124201000000113
