goal	rule	score
p2(X0)	p2(a1)	1
p0(X5, X0)	p0(a6, a28)	1
p0(X0, X4)	p0(a25, a89)	1
p8(X0, X1)	p8(a64, a10)	1
p6(a48, X0, X1, X2)	p6(a48, a12, a54, a45)	1
p3(X1, X0)	p3(a19, a84)	1
p4(X1)	p4(a40)	1
p4(X4)	p4(a28)	1
p3(X0, X7)	p3(a12, a0)	1
p4(X9)	p4(a13)	1
p2(X4)	p2(a60)	1
p0(X7, X0)	p0(a74, a94)	1
p3(a53, a53)	p3(X4, X4) :- p4(X4)	1
p2(X1)	p2(a23)	1
p5(X0)	p5(a59)	1
p5(a59)	p5(a59)	1
p4(X0)	p4(a31)	1
p3(X1, X0)	p3(a12, a0)	1
p4(a96)	p4(X8) :- p4(X8)	1
p0(X0, a0)	p0(a16, a0)	1
p0(X2, X0)	p0(a33, a3)	1
p5(X9)	p5(a76)	1
p0(X0, X1)	p0(a14, a10)	1
p3(X0, X9)	p3(a18, a21)	1
p0(X0, X1)	p0(a21, a85)	1
p2(X0)	p2(a53)	1
p0(X7, X0)	p0(a16, a0)	1
p2(X5)	p2(a41)	1
p4(X8)	p4(a96)	1
p2(X5)	p2(a60)	1
p4(X4)	p4(a13)	1
p3(X0, X8)	p3(a84, a2)	1
p4(X8)	p4(a5)	1
p4(X8)	p4(a80)	1
p4(X7)	p4(a82)	1
p0(X0, X2)	p0(a14, a85)	1
p4(X8)	p4(a15)	1
p3(X0, X9)	p3(a86, a2)	1
p0(X0, X4)	p0(a41, a18)	1
p3(X0, X1)	p3(a0, a35)	1
p0(X2, X0)	p0(a74, a94)	1
p0(X1, X0)	p0(a11, a13)	1
p4(X6)	p4(a5)	1
p0(X6, X0)	p0(a21, a85)	1
p4(X6)	p4(a52)	1
p4(a18)	p4(X8) :- p4(X8)	1
p0(X0, X4)	p0(a11, a0)	1
p0(X5, X0)	p0(a0, a23)	1
p8(X0, X1)	p8(a18, a30)	1
p4(X7)	p4(a11)	1
p0(X2, X0)	p0(a58, a26)	1
p4(X4)	p4(a82)	1
p4(X7)	p4(a38)	1
p6(X0, X1, X2, a0)	p6(a55, a5, a47, a0)	1
p3(X0, X5)	p3(a95, a45)	1
p4(X9)	p4(a18)	1
p4(X9)	p4(a51)	1
p3(X0, X6)	p3(a1, a28)	1
p3(X0, X6)	p3(a11, a58)	1
p4(X2)	p4(a52)	1
